ID,Enrollment_status,Age_at_enrollment_years,Age_current_years,Sex,Age_at_gonadectomy_categorical,Region_of_residence,Body_condition_categorical,Primary_endpoint,Primary_endpoint_diagnosis_tier,Age_at_primary_endpoint_diagnosis_years,Age_at_death_or_ltf_years,Cause_of_death_cancer_yes_no,Total_follow_up_time_years,Necropsy_performed_yes_no
grlsLS9QDI55,Enrolled,1.88,10,Male Neutered,1 - 2 yrs,Pacific,Overweight,,,,,,10,
grlsRH18HHQQ,Enrolled,1.2,9.22,Male Neutered,1 - 2 yrs,Midwest,,,,,,,9.22,
grlsVBMXEPP,LTF,2.33,6.07,Male Neutered,6 mo - 1 yr,South,Normal,,,,6.07,,6.07,
grlsO9VL9KQQ,Enrolled,1.38,9.25,Male Neutered,1 - 2 yrs,Midwest,Normal,,,,,,9.25,
grlsJ1MACZ66,Enrolled,0.61,8.79,Male Neutered,2 - 5 yrs,South,,,,,,,8.79,
grls87P8Z7OO,LTF,1,4.05,Female Spayed,1 - 2 yrs,Pacific,Normal,,,,4.05,,4.05,
grlsWPC63PJJ,Enrolled,2.07,9.33,Female Spayed,6 mo - 1 yr,South,Obese,,,,,,9.33,
grlsUG4P9BOO,Enrolled,0.67,8.8,Female Spayed,6 mo - 1 yr,South,Normal,,,,,,8.8,
grlsO6ZGI6HH,Enrolled Deceased,1.61,8.74,Female Spayed,6 mo - 1 yr,South,Normal,Hemangiosarcoma,1,8.68,8.74,1,8.74,Yes
grlsYTA0SGJJ,LTF,1.51,2.29,Male Intact,Intact,South,Normal,,,,2.29,,2.29,
grlsJ2SZ35II,Enrolled,1.58,9.65,Male Neutered,6 mo - 1 yr,Northeast,Normal,,,,,,9.65,
grlsPYFB000,Enrolled,0.97,9.1,Female Intact,Intact,South,Overweight,,,,,,9.1,
grlsFKA8KCJJ,Enrolled Deceased,1.95,8.78,Female Spayed,<= 6 mo,Midwest,Overweight,Hemangiosarcoma,1,8.29,8.78,1,8.78,Yes
grls4JRZBJ00,LTF,1.24,3.2,Female Spayed,6 mo - 1 yr,Northeast,Normal,,,,3.2,,3.2,
grlsEF3EEUVV,Enrolled,2.36,9.22,Male Neutered,6 mo - 1 yr,South,Normal,,,,,,9.22,
grlsX54PJKMM,LTF,1.63,5.59,Male Intact,Intact,Northeast,Normal,,,,5.59,,5.59,
grlsTR2641ZZ,Enrolled,0.59,8.49,Male Neutered,<= 6 mo,Mountain,Underweight,,,,,,8.49,
grls4MF6MXX,Enrolled,1.8,8.84,Female Spayed,>5 yrs,Mountain,Normal,,,,,,8.84,
grls8HJGF3NN,LTF,2.04,4.03,Male Neutered,6 mo - 1 yr,Northeast,Overweight,,,,4.03,,4.03,
grls6AN705JJ,Enrolled,2.08,10.22,Male Intact,Intact,South,Normal,,,,,,10.22,
grlsYC4IWSHH,Enrolled,2.07,10.19,Male Neutered,>5 yrs,South,Overweight,,,,,,10.19,
grls4EBRJ3PP,Enrolled,1.67,9.78,Female Spayed,<= 6 mo,Pacific,Normal,,,,,,9.78,
grlsTIM0LS55,Enrolled,1.37,9.37,Female Spayed,<= 6 mo,South,Normal,,,,,,9.37,
grlsLMEV166,Enrolled Deceased,2.32,9.98,Male Intact,Intact,Mountain,Overweight,,,,9.98,1,9.98,Yes
grls27Q2M9II,LTF,0.76,4.94,Female Intact,Intact,South,Normal,,,,4.94,,4.94,
grlsSJ0A7NFF,Enrolled,1.14,9.07,Male Neutered,<= 6 mo,Mountain,Overweight,,,,,,9.07,
grlsDBV9O699,Enrolled,1.87,9.99,Female Spayed,<= 6 mo,Midwest,Overweight,,,,,,9.99,
grlsJT6W5YY,Enrolled,1.24,9.16,Male Intact,Intact,South,Normal,,,,,,9.16,
grlsP8YVW3FF,Enrolled,1.98,9.52,Male Neutered,<= 6 mo,Mountain,Overweight,,,,,,9.52,
grlsFBCOXUUU,LTF,0.93,5.03,Female Intact,Intact,South,Normal,,,,5.03,,5.03,
grls6RRHX4TT,Enrolled Deceased,1.36,8.32,Female Intact,Intact,Mountain,Normal,Hemangiosarcoma,1,8.32,8.32,1,8.32,Yes
grlsD20OVJMM,Enrolled,1.34,9.07,Female Spayed,6 mo - 1 yr,Mountain,Normal,,,,,,9.07,
grlsO45NQLBB,Enrolled Deceased,1.83,9.83,Female Spayed,1 - 2 yrs,South,,Hemangiosarcoma,1,9.83,9.83,1,9.83,Yes
grlsED6P5KYY,Enrolled,1.1,8.97,Female Intact,Intact,Midwest,Overweight,,,,,,8.97,
grlsIRH5Z6OO,Enrolled Deceased,1.99,7.11,Male Neutered,6 mo - 1 yr,Midwest,Normal,Hemangiosarcoma,1,6.97,7.11,1,7.11,Yes
grls4QMUYS99,Enrolled Deceased,2,7.46,Female Spayed,6 mo - 1 yr,Mountain,Overweight,,,,7.46,0,7.46,No
grlsH8UP2NNN,LTF,2,2.9,Female Spayed,6 mo - 1 yr,Mountain,Overweight,,,,2.9,,2.9,
grls35EKPBEE,Enrolled Deceased,2.06,9.64,Male Neutered,6 mo - 1 yr,Pacific,Normal,Osteosarcoma,1,9.6,9.64,1,9.64,Yes
grlsKXSS9K00,Enrolled,1.4,8.41,Male Neutered,<= 6 mo,Pacific,Obese,,,,,,8.41,
grlsXFBEMJKK,Enrolled Deceased,1.37,9.26,Male Neutered,6 mo - 1 yr,South,Overweight,Lymphoma,1,8.98,9.26,1,9.26,Yes
grlsH63CO8TT,Enrolled,0.76,8.71,Female Spayed,<= 6 mo,Pacific,Obese,,,,,,8.71,
grls84ZCVBBB,LTF,1.45,2.31,Male Intact,Intact,Midwest,Overweight,,,,2.31,,2.31,
grlsDK84N44,Enrolled,1.26,9.21,Female Spayed,6 mo - 1 yr,Mountain,Overweight,,,,,,9.21,
grlsSHBIY7PP,Enrolled,2.05,9.97,Female Spayed,>5 yrs,South,Overweight,,,,,,9.97,
grlsWTUWRVLL,LTF,1.37,2.33,Female Spayed,<= 6 mo,Mountain,Normal,,,,2.33,,2.33,
grlsRP2416JJ,Enrolled,0.51,8.57,Female Spayed,1 - 2 yrs,Midwest,Normal,,,,,,8.57,
grlsXC9YA8WW,Enrolled,1.46,9.54,Female Spayed,6 mo - 1 yr,Pacific,Overweight,,,,,,9.54,
grls8T32TPNN,Enrolled Deceased,1.62,6.4,Female Intact,Intact,South,Normal,Lymphoma,1,6.39,6.4,1,6.4,Yes
grlsWGVCSJFF,Enrolled Deceased,1.97,9.85,Female Spayed,2 - 5 yrs,Midwest,Normal,Hemangiosarcoma,1,9.84,9.85,1,9.85,Yes
grlsYI8VNVWW,LTF,1.91,5,Male Neutered,1 - 2 yrs,Pacific,Normal,,,,5,,5,
grlsVZZT8XOO,Enrolled,2.1,10.14,Female Intact,Intact,Pacific,,,,,,,10.14,
grlsS3JUGSLL,Enrolled,0.9,8.8,Female Spayed,1 - 2 yrs,Midwest,Normal,,,,,,8.8,
grlsNEYPD6,Enrolled,0.95,8.61,Female Spayed,<= 6 mo,South,,,,,,,8.61,
grlsGRLXJ333,Enrolled,1.87,10.01,Male Neutered,1 - 2 yrs,Midwest,Overweight,,,,,,10.01,
grls52PM8XX,LTF,1.06,2.49,Female Spayed,6 mo - 1 yr,Northeast,Overweight,,,,2.49,,2.49,
grlsHX9Q5HPP,Enrolled,0.9,8.73,Male Neutered,6 mo - 1 yr,South,Overweight,,,,,,8.73,
grlsRUY4QMFF,Enrolled,2.11,10.13,Male Neutered,6 mo - 1 yr,Midwest,Normal,,,,,,10.13,
grls661NWWXX,Enrolled,2.07,9.01,Female Intact,Intact,South,,,,,,,9.01,
grlsFP95S1AA,LTF,1.39,3.33,Male Neutered,6 mo - 1 yr,Pacific,Obese,,,,3.33,,3.33,
grls5YLH52RR,LTF,2.48,2.36,Male Neutered,<= 6 mo,South,Normal,,,,2.36,,2.36,
grlsD9A0MJJJ,Enrolled,2.19,8.93,Female Spayed,>5 yrs,Midwest,Normal,,,,,,8.93,
grls66CMWWXX,Enrolled,1.55,9.66,Female Spayed,1 - 2 yrs,Midwest,Normal,,,,,,9.66,
grlsV400W4FF,Enrolled Deceased,1.31,6.43,Male Neutered,6 mo - 1 yr,Pacific,Normal,,,,6.43,0,6.43,No
grls634H26FF,Enrolled,1.92,10.02,Male Intact,Intact,Pacific,Normal,,,,,,10.02,
grls4YF33IMM,LTF,1.97,2.93,Male Neutered,6 mo - 1 yr,Pacific,Overweight,,,,2.93,,2.93,
grlsVPTVQHXX,LTF,2.06,1.97,Female Spayed,6 mo - 1 yr,Pacific,Overweight,,,,1.97,,1.97,
grlsSH7J89BB,Enrolled,0.7,8.43,Male Neutered,6 mo - 1 yr,Mountain,Normal,,,,,,8.43,
grlsXIMHBKPP,Enrolled,0.88,9.02,Female Spayed,<= 6 mo,South,Overweight,,,,,,9.02,
grlsLPHY9WW,Enrolled,2.17,8.65,Female Spayed,<= 6 mo,Northeast,Overweight,,,,,,8.65,
grlsCHA3ZO11,Enrolled,1.4,9.04,Female Spayed,2 - 5 yrs,Northeast,Normal,,,,,,9.04,
grls6K12UGYY,Enrolled,1.31,9.42,Female Spayed,<= 6 mo,Midwest,Normal,,,,,,9.42,
grlsYOCNZTII,Enrolled,1.53,9.01,Female Spayed,6 mo - 1 yr,South,Normal,,,,,,9.01,
grls47042K22,Enrolled,0.53,8.19,Male Neutered,6 mo - 1 yr,Midwest,Normal,,,,,,8.19,
grls1T0UJ7BB,LTF,2.7,4.61,Female Spayed,<= 6 mo,Northeast,Normal,,,,4.61,,4.61,
grlsNPNE07BB,Enrolled,1.73,8.47,Male Neutered,6 mo - 1 yr,South,Normal,,,,,,8.47,
grls9NWXF322,Enrolled,1.89,9.27,Female Spayed,<= 6 mo,South,,,,,,,9.27,
grls5607BI44,Enrolled,1.62,8.56,Male Intact,Intact,Mountain,,,,,,,8.56,
grls2GWGQGHH,Enrolled Deceased,2.1,8.02,Female Intact,Intact,Pacific,Obese,Lymphoma,3,7.77,8.02,1,8.02,No
grlsF1VUG222,Enrolled,2.12,9.78,Female Intact,Intact,Midwest,,,,,,,9.78,
grls8CYZW2VV,Enrolled,2.17,8.65,Female Spayed,>5 yrs,Midwest,Normal,,,,,,8.65,
grlsK52ZI955,Enrolled,0.98,9.06,Female Spayed,2 - 5 yrs,Northeast,Normal,,,,,,9.06,
grlsDX627P99,Enrolled,1.85,9.82,Female Spayed,6 mo - 1 yr,Midwest,Normal,,,,,,9.82,
grls9KYH1GAA,Enrolled,1.52,9.62,Male Intact,Intact,Northeast,Normal,,,,,,9.62,
grls9HL5S11,Enrolled Deceased,2.49,7.34,Female Spayed,>5 yrs,Northeast,Normal,,,,7.34,1,7.34,Yes
grls4ZTLI2JJ,Enrolled,1.94,8.81,Male Intact,Intact,Northeast,,,,,,,8.81,
grlsXZJJ94DD,Enrolled,1.25,9.33,Female Spayed,<= 6 mo,Northeast,Overweight,,,,,,9.33,
grlsCZC5H66,Enrolled,0.64,8.3,Female Intact,Intact,South,Overweight,,,,,,8.3,
grlsSGMC3CC,Enrolled,1.7,8.83,Female Spayed,>5 yrs,South,Normal,,,,,,8.83,
grls59085811,LTF,1.41,4.25,Male Neutered,6 mo - 1 yr,South,Obese,,,,4.25,,4.25,
grlsBR1ULWSS,Enrolled,0.9,8.45,Male Intact,Intact,Midwest,Normal,,,,,,8.45,
grls6QK7O55,Enrolled,0.71,8.36,Male Neutered,6 mo - 1 yr,Mountain,Normal,,,,,,8.36,
grls1N26R7HH,LTF,0.52,4.33,Male Neutered,6 mo - 1 yr,Midwest,Overweight,,,,4.33,,4.33,
grls1NG4CBXX,Enrolled,0.74,8.36,Female Spayed,6 mo - 1 yr,Mountain,Normal,,,,,,8.36,
grlsTTQ4VJ33,Enrolled,1.32,9.17,Male Neutered,6 mo - 1 yr,Midwest,Normal,,,,,,9.17,
grlsVWUHSQNN,Enrolled,0.69,8.5,Female Spayed,<= 6 mo,South,Overweight,,,,,,8.5,
grlsQ317XJZZ,LTF,1.78,2.75,Female Spayed,1 - 2 yrs,Pacific,Normal,,,,2.75,,2.75,
grlsVSCFCFSS,Enrolled,0.75,8.48,Male Neutered,6 mo - 1 yr,Northeast,Normal,,,,,,8.48,
grls75DYUD22,Enrolled,1.66,9.75,Male Intact,Intact,Northeast,,,,,,,9.75,
grlsZ7KMZN00,Enrolled,0.63,8.34,Female Spayed,6 mo - 1 yr,Northeast,,,,,,,8.34,
grls7DPE0X77,Enrolled Deceased,1.7,3.53,Female Spayed,<= 6 mo,South,Overweight,,,,3.53,0,3.53,Yes
grlsTIU8L0BB,Enrolled,0.52,8.35,Male Neutered,1 - 2 yrs,Pacific,Normal,,,,,,8.35,
grlsBJTD3O55,Enrolled,1.95,9.27,Male Neutered,<= 6 mo,Midwest,Normal,,,,,,9.27,
grls83VQG44,Enrolled,1.45,9.52,Male Neutered,6 mo - 1 yr,Mountain,Normal,,,,,,9.52,
grls17FS6T00,Enrolled,1.37,9.38,Female Spayed,6 mo - 1 yr,Midwest,Normal,,,,,,9.38,
grlsJQRYP988,Enrolled,0.59,8.48,Male Intact,Intact,Midwest,Normal,,,,,,8.48,
grlsY9W8X1SS,Enrolled,0.56,8.32,Female Spayed,6 mo - 1 yr,Pacific,Normal,,,,,,8.32,
grls7QR8H733,Enrolled,1.56,8.75,Male Neutered,>5 yrs,Pacific,Overweight,,,,,,8.75,
grlsGT7CS9YY,Enrolled,1.06,8.43,Male Neutered,6 mo - 1 yr,Pacific,Normal,,,,,,8.43,
grls1W2Z1HOO,LTF,0.99,4.95,Female Intact,Intact,Northeast,Normal,,,,4.95,,4.95,
grls4FUIXTEE,Enrolled,0.57,8.41,Female Spayed,2 - 5 yrs,South,Normal,,,,,,8.41,
grlsMPD8RXKK,LTF,0.98,4.94,Female Intact,Intact,Northeast,Overweight,,,,4.94,,4.94,
grlsZI7MU2EE,Enrolled,1.16,8.8,Male Intact,Intact,South,Overweight,,,,,,8.8,
grlsQEZO2RMM,Enrolled,1.32,8.8,Female Spayed,>5 yrs,South,Normal,,,,,,8.8,
grlsI2GJW4XX,Enrolled,1.22,9.23,Male Neutered,1 - 2 yrs,Midwest,Overweight,,,,,,9.23,
grlsG4R39L00,Enrolled,0.59,8.36,Male Neutered,>5 yrs,Pacific,Normal,,,,,,8.36,
grls9H24U577,LTF,1.49,1.46,Female Intact,Intact,Northeast,Normal,,,,1.46,,1.46,
grlsIIS2GMVV,Enrolled,1.96,8.31,Male Neutered,>5 yrs,Mountain,Normal,,,,,,8.31,
grlsDGF143,Enrolled,1.03,8.28,Female Spayed,1 - 2 yrs,Midwest,Normal,,,,,,8.28,
grls81HF1RZZ,Enrolled,1.57,9.29,Male Neutered,6 mo - 1 yr,Northeast,Overweight,,,,,,9.29,
grlsIJNFU3SS,Enrolled Deceased,1.65,8.88,Male Neutered,6 mo - 1 yr,Mountain,Overweight,Hemangiosarcoma,2,8.76,8.88,1,8.88,No
grls1NBZCRQQ,Enrolled,0.76,8.37,Female Spayed,<= 6 mo,Northeast,Normal,,,,,,8.37,
grlsPN3XJF88,Enrolled,1.21,8.59,Male Neutered,<= 6 mo,Mountain,Obese,,,,,,8.59,
grls7K7O3OJJ,Enrolled Deceased,0.65,8.02,Female Spayed,1 - 2 yrs,South,Normal,Hemangiosarcoma,1,7.03,8.02,1,8.02,Yes
grlsAW5UKVOO,Enrolled,2.3,8.61,Female Spayed,<= 6 mo,Midwest,Overweight,,,,,,8.61,
grlsEBPBMP88,Enrolled,0.77,8.84,Female Spayed,>5 yrs,Mountain,,,,,,,8.84,
grls6GQLWCVV,LTF,2.03,3.89,Female Spayed,1 - 2 yrs,Pacific,Normal,,,,3.89,,3.89,
grls1K7T6888,Enrolled,1,9.01,Male Neutered,6 mo - 1 yr,Northeast,Obese,,,,,,9.01,
grlsY23ZD7DD,LTF,0.7,0.67,Female Intact,Intact,Northeast,Normal,,,,0.67,,0.67,
grlsQ1Q3CVPP,Enrolled,2.05,9.74,Male Neutered,1 - 2 yrs,Midwest,Normal,,,,,,9.74,
grlsPWT135KK,Enrolled,0.6,8.3,Female Spayed,6 mo - 1 yr,South,Overweight,,,,,,8.3,
grlsUC2R1BNN,Enrolled,0.6,8.31,Female Spayed,1 - 2 yrs,South,Overweight,,,,,,8.31,
grlsHU8C0ENN,Enrolled,1.44,8.39,Male Neutered,1 - 2 yrs,Northeast,Overweight,,,,,,8.39,
grlsG5IC1QXX,Enrolled,2.46,10.02,Female Intact,Intact,Mountain,Overweight,,,,,,10.02,
grlsOR8RUFF,Enrolled Deceased,1.05,8.9,Male Intact,Intact,South,Underweight,Lymphoma,2,8.7,8.9,1,8.9,No
grlsMEIYX9UU,Enrolled,1,9.06,Male Intact,Intact,Pacific,,,,,,,9.06,
grls487UKJ88,Enrolled,1.61,9.68,Female Spayed,6 mo - 1 yr,Midwest,,,,,,,9.68,
grlsJPSLZI99,Enrolled,1.24,9.29,Female Spayed,<= 6 mo,Pacific,Normal,,,,,,9.29,
grlsMOSV1VKK,LTF,0.61,4.56,Male Neutered,1 - 2 yrs,Mountain,Normal,,,,4.56,,4.56,
grls51YUIQ66,Enrolled,2.08,9.24,Female Spayed,1 - 2 yrs,South,Normal,,,,,,9.24,
grlsGX6DHOO,Enrolled,1.04,9,Female Spayed,6 mo - 1 yr,Mountain,Normal,,,,,,9,
grlsWLIHXCQQ,Enrolled,1.27,9.24,Male Neutered,2 - 5 yrs,Northeast,Overweight,,,,,,9.24,
grls7ZDCH9RR,Enrolled,1.53,9.45,Male Neutered,<= 6 mo,Midwest,Overweight,,,,,,9.45,
grls647XV6EE,Enrolled,1.98,9.97,Male Neutered,6 mo - 1 yr,Midwest,,,,,,,9.97,
grls1YLKGH66,Enrolled,1.32,9.06,Male Neutered,2 - 5 yrs,Midwest,Normal,Lymphoma,1,7.07,,,9.06,
grls0VMC6E66,Enrolled,0.9,8.71,Female Spayed,6 mo - 1 yr,South,Overweight,,,,,,8.71,
grlsBLVCX2EE,Enrolled,1.41,9.4,Female Spayed,<= 6 mo,Midwest,Normal,,,,,,9.4,
grlsUKVTVHBB,Enrolled Deceased,0.56,7.59,Female Intact,Intact,Midwest,Overweight,,,,7.59,0,7.59,Yes
grlsE3JWJG33,Enrolled,1,9.06,Male Neutered,6 mo - 1 yr,Pacific,Normal,,,,,,9.06,
grlsRB7HJ7JJ,Enrolled,0.67,8.67,Male Neutered,<= 6 mo,Northeast,Overweight,,,,,,8.67,
grlsGJ8G77ZZ,LTF,2.01,3.89,Female Intact,Intact,Midwest,Normal,,,,3.89,,3.89,
grls2C3B7A99,Enrolled,1.79,9.51,Male Neutered,1 - 2 yrs,South,Overweight,,,,,,9.51,
grlsS4J8WLRR,Enrolled,1.83,8.54,Female Spayed,6 mo - 1 yr,South,Obese,,,,,,8.54,
grlsI1LFYF33,LTF,2.31,3.68,Male Neutered,<= 6 mo,Pacific,Normal,,,,3.68,,3.68,
grlsMVEFYNN,LTF,0.97,2.36,Female Spayed,6 mo - 1 yr,Pacific,Normal,,,,2.36,,2.36,
grlsD8PYS8NN,Enrolled,1.71,9.3,Male Neutered,<= 6 mo,South,Overweight,,,,,,9.3,
grlsCWCLK22,Enrolled,0.7,8.34,Female Spayed,6 mo - 1 yr,South,Normal,,,,,,8.34,
grlsMI3ZSXFF,Enrolled,0.55,8.59,Male Neutered,>5 yrs,Midwest,Normal,,,,,,8.59,
grlsYYIG2ESS,Enrolled,0.61,8.43,Male Neutered,<= 6 mo,Pacific,Normal,,,,,,8.43,
grlsSJCI6XX,Enrolled,0.61,8.38,Male Neutered,<= 6 mo,Midwest,Normal,,,,,,8.38,
grlsVB5WJNDD,Enrolled,1.37,8.3,Female Spayed,<= 6 mo,Pacific,Normal,,,,,,8.3,
grlsROHG65XX,Enrolled,1.21,8.49,Male Neutered,6 mo - 1 yr,Midwest,Normal,,,,,,8.49,
grlsM80CY500,Enrolled,0.64,8.64,Male Neutered,1 - 2 yrs,Midwest,Obese,,,,,,8.64,
grlsL7E2G6QQ,Enrolled,1.52,8.69,Male Neutered,<= 6 mo,Northeast,Normal,,,,,,8.69,
grlsHJYIUGLL,Enrolled,1.43,8.36,Male Intact,Intact,Northeast,Overweight,,,,,,8.36,
grlsFEV190KK,LTF,0.96,2.18,Female Spayed,6 mo - 1 yr,Mountain,Normal,,,,2.18,,2.18,
grls06YF0BSS,Enrolled,0.71,8.72,Male Neutered,6 mo - 1 yr,Mountain,Normal,,,,,,8.72,
grlsTPTO4077,Enrolled,1.44,9.35,Female Spayed,<= 6 mo,Northeast,Overweight,,,,,,9.35,
grlsGJKUYM66,Enrolled Deceased,1.59,6.65,Male Neutered,1 - 2 yrs,South,Overweight,Hemangiosarcoma,1,6.61,6.65,1,6.65,Yes
grlsOSHFROO,LTF,0.62,0.61,Male Intact,Intact,Pacific,Normal,,,,0.61,,0.61,
grlsB6JZV399,Enrolled Deceased,2.18,4.65,Male Neutered,6 mo - 1 yr,Northeast,Obese,,,,4.65,0,4.65,No
grlsV1AOPOHH,LTF,1.16,1.15,Male Neutered,<= 6 mo,Pacific,Normal,,,,1.15,,1.15,
grlsKXX7OMTT,LTF,0.6,4.52,Female Intact,Intact,Pacific,Overweight,,,,4.52,,4.52,
grlsPSSZFMJJ,Enrolled,0.79,8.72,Male Neutered,6 mo - 1 yr,Northeast,Normal,,,,,,8.72,
grls6X6HLXMM,Enrolled,0.69,8.23,Female Spayed,>5 yrs,South,Normal,,,,,,8.23,
grlsUUTUSYGG,Enrolled,0.73,8.4,Female Spayed,>5 yrs,Northeast,Overweight,,,,,,8.4,
grlsIP856OHH,Enrolled,0.82,8.23,Male Intact,Intact,Midwest,,,,,,,8.23,
grls6T9NIGJJ,LTF,0.64,0.63,Female Spayed,6 mo - 1 yr,Northeast,Overweight,,,,0.63,,0.63,
grls4XF9HJ66,LTF,2.14,3.01,Male Intact,Intact,Northeast,Normal,,,,3.01,,3.01,
grlsN9LGP8BB,LTF,0.8,1.59,Male Intact,Intact,Midwest,Normal,,,,1.59,,1.59,
grlsQK6Y1QII,Enrolled,1.97,9.98,Male Neutered,<= 6 mo,Midwest,Obese,,,,,,9.98,
grlsK0IKLM,Enrolled,2,8.68,Female Spayed,6 mo - 1 yr,Midwest,Normal,,,,,,8.68,
grlsXXBOLUJJ,LTF,1.42,5.45,Female Spayed,6 mo - 1 yr,Pacific,Overweight,,,,5.45,,5.45,
grlsTM2KR9LL,Enrolled,2.04,8.37,Female Intact,Intact,South,Normal,,,,,,8.37,
grlsNXR9T1OO,Enrolled,0.73,8.67,Male Neutered,1 - 2 yrs,Midwest,Underweight,,,,,,8.67,
grlsLQK0BOJJ,Enrolled,0.58,8.35,Female Spayed,>5 yrs,South,Normal,,,,,,8.35,
grlsBXN6UF55,Enrolled,1.63,8.54,Female Spayed,6 mo - 1 yr,Northeast,Overweight,,,,,,8.54,
grlsG1NZXTPP,Enrolled,0.53,8.21,Female Spayed,<= 6 mo,Midwest,Normal,,,,,,8.21,
grls2DCZV5HH,Enrolled Deceased,0.67,0.68,Male Intact,Intact,Midwest,Normal,,,,0.68,0,0.68,No
grls31F8JJGG,Enrolled,1.84,8.99,Female Spayed,>5 yrs,South,Normal,,,,,,8.99,
grls3U1GQWCC,Enrolled,1.39,9.32,Male Neutered,1 - 2 yrs,Northeast,,,,,,,9.32,
grlsSPUWEPWW,Enrolled,2.09,8.39,Female Intact,Intact,Northeast,Overweight,,,,,,8.39,
grls97GJL8II,Enrolled,1.46,9.3,Male Neutered,2 - 5 yrs,Northeast,Normal,Hemangiosarcoma,1,9.02,,,9.3,
grlsRGGVVLOO,Enrolled,1.6,8.28,Female Spayed,6 mo - 1 yr,South,Normal,,,,,,8.28,
grlsDP2SGJ,Enrolled,1.44,8.32,Male Neutered,1 - 2 yrs,South,Normal,,,,,,8.32,
grlsME7WSB33,Enrolled Deceased,0.8,3.86,Female Intact,Intact,Midwest,Obese,,,,3.86,0,3.86,No
grlsD67R1LRR,Enrolled Deceased,2.15,8.98,Male Neutered,2 - 5 yrs,South,Normal,Hemangiosarcoma,2,8.8,8.98,1,8.98,No
grls80PK83UU,Enrolled,1.79,9.65,Female Spayed,6 mo - 1 yr,Northeast,Normal,,,,,,9.65,
grlsYTFYREXX,Enrolled,0.65,8.49,Male Intact,Intact,Northeast,Overweight,,,,,,8.49,
grls5I2EVV77,Enrolled,1.06,8.99,Male Neutered,1 - 2 yrs,Mountain,Normal,,,,,,8.99,
grls64JASD99,Enrolled,1.07,8.98,Male Neutered,1 - 2 yrs,Northeast,Normal,,,,,,8.98,
grlsRGKS99MM,Enrolled,0.89,8.18,Female Spayed,>5 yrs,Pacific,Normal,,,,,,8.18,
grlsUC0R7HMM,Enrolled,2.36,9.16,Female Spayed,<= 6 mo,Midwest,Normal,,,,,,9.16,
grls0MWS6OMM,Enrolled,0.65,8.26,Female Spayed,<= 6 mo,Mountain,,,,,,,8.26,
grls45ZNH300,Enrolled,1.28,8.49,Male Neutered,2 - 5 yrs,Midwest,Overweight,,,,,,8.49,
grlsPGOLQCVV,Enrolled,0.7,8.21,Male Neutered,1 - 2 yrs,Pacific,Overweight,,,,,,8.21,
grlsOIV56RAA,Enrolled Deceased,2.07,8.24,Male Neutered,2 - 5 yrs,Midwest,Normal,,,,8.24,0,8.24,No
grlsM14NP0PP,Enrolled,2.06,9.52,Female Spayed,<= 6 mo,South,Overweight,,,,,,9.52,
grls442TB755,Enrolled Deceased,2.27,8.71,Male Intact,Intact,Pacific,Overweight,Hemangiosarcoma,1,8.71,8.71,1,8.71,Yes
grlsB4GNNEMM,Enrolled,1.15,8.16,Male Intact,Intact,Pacific,Overweight,,,,,,8.16,
grlsJ6GZXBKK,Enrolled Deceased,1.03,8.53,Female Spayed,<= 6 mo,South,Normal,,,,8.53,0,8.53,Yes
grlsEUPFSBEE,Enrolled,2.47,9.42,Male Intact,Intact,Northeast,Normal,,,,,,9.42,
grlsD087Q755,Enrolled,0.82,8.54,Female Spayed,>5 yrs,Midwest,Overweight,,,,,,8.54,
grlsI831ES77,Enrolled,0.88,8.27,Male Intact,Intact,Pacific,Normal,,,,,,8.27,
grlsSVGN32WW,Enrolled,1.81,9.43,Female Spayed,<= 6 mo,Pacific,Overweight,,,,,,9.43,
grlsS1WQW233,Enrolled,1.73,9.3,Male Neutered,1 - 2 yrs,Midwest,Overweight,,,,,,9.3,
grlsD0AC0SOO,Enrolled,2.08,9.2,Female Spayed,6 mo - 1 yr,Mountain,Overweight,,,,,,9.2,
grlsD2P6YHFF,Enrolled,1.38,9.18,Male Neutered,<= 6 mo,Northeast,Overweight,,,,,,9.18,
grlsASIGJBXX,Enrolled,2.01,8.87,Female Spayed,1 - 2 yrs,South,Normal,,,,,,8.87,
grlsFKWD1FKK,LTF,0.89,0.84,Female Intact,Intact,South,Normal,,,,0.84,,0.84,
grlsJZM9EHDD,Enrolled,1.48,9.22,Female Spayed,>5 yrs,Midwest,Overweight,,,,,,9.22,
grls1YYK24LL,Enrolled,1.21,8.95,Male Neutered,>5 yrs,Northeast,Normal,,,,,,8.95,
grlsMM1XVLNN,Enrolled,2.26,9.26,Female Spayed,>5 yrs,Northeast,Normal,,,,,,9.26,
grlsU8FN91BB,Enrolled,0.81,8.54,Female Spayed,<= 6 mo,Northeast,Overweight,,,,,,8.54,
grlsNDJYYR,Enrolled,2.14,9.66,Male Neutered,6 mo - 1 yr,South,Normal,,,,,,9.66,
grlsTHY3N166,Enrolled,0.65,8.51,Female Spayed,6 mo - 1 yr,South,Overweight,,,,,,8.51,
grls916F9V88,Enrolled,0.63,8.54,Female Spayed,1 - 2 yrs,Mountain,Overweight,,,,,,8.54,
grlsN09TPIMM,Enrolled Deceased,1.92,7.97,Male Neutered,6 mo - 1 yr,South,,,,,7.97,0,7.97,No
